cond1rep1	cond1rep2	cond1rep3	cond1rep4	cond1rep5	cond2rep1	cond2rep2	cond2rep3	cond2rep4	cond2rep5
gene153	7813	7580	7161	6654	7171	9030	7612	7816	7657	7340
gene154	85	60	71	59	57	100	77	79	70	88
gene155	165	165	129	155	165	177	179	166	157	143
gene156	73	91	75	81	82	159	190	156	161	160
gene157	54	49	36	52	49	42	50	54	48	63
gene158	2201	2237	2296	2041	2190	2441	2288	2323	2361	2059
gene159	2091	2136	1891	1993	2191	2041	2013	2164	2023	1989
gene160	34	42	43	27	30	48	31	34	52	37
gene161	1875	1933	2059	1768	1934	2194	1717	2001	1801	1939
gene162	162	207	193	170	182	150	162	172	176	154
gene163	98	107	99	107	119	104	121	70	106	111
gene164	1460	1538	1560	1597	1654	1555	1462	1479	1506	1590
gene165	2908	3069	2892	3101	2871	2840	3262	2804	2960	2775
gene166	1476	1831	1584	1716	1616	1846	1493	1474	1693	1471
gene167	5671	6158	6663	6080	6403	6144	5688	5863	5351	5881
gene168	830	831	921	902	881	731	779	796	916	882
gene169	74	74	63	71	63	158	162	157	145	146
gene170	2519	2531	2485	2427	2954	2756	2332	2668	2294	2461
gene171	1154	1090	1046	1303	1065	1127	1300	1108	1231	1132
gene172	15	27	32	23	32	14	25	28	18	23
gene173	1444	1239	1319	1419	1395	1362	1440	1466	1451	1326
gene174	20	18	25	11	18	22	14	22	23	20
gene175	5347	5783	6206	5713	6173	5610	5369	7090	5597	6246
gene176	66	63	66	55	53	58	56	63	52	55
gene177	459	432	456	508	407	810	911	866	845	927
gene178	275	288	237	257	202	236	258	262	313	255
gene179	10756	10146	9964	10437	10043	8525	10979	9006	11174	10336
gene180	3336	3178	3186	3535	3609	5751	7225	5978	5979	6148
gene181	1905	2106	2198	1978	1912	2369	2116	2008	2294	2073
gene182	58	76	69	72	73	58	60	69	61	69
gene183	8095	8623	9661	7872	8530	9025	8320	8749	8183	9091
gene184	1748	1688	1674	1552	1755	1746	1612	1611	1702	1880
gene185	14	11	16	13	17	14	9	10	13	7
gene186	4516	4582	4550	4788	4547	4143	5026	4878	4481	4224
gene187	415	400	393	409	405	424	386	410	399	449
gene188	70	53	66	72	53	63	64	67	65	52
gene189	2828	2727	2857	3438	2955	2847	3183	2815	2855	2890
gene190	4633	4490	4458	5096	4267	4598	4138	4920	4253	4887
gene191	2450	2378	2510	2618	2606	2797	3030	2570	2576	2618
gene192	414	531	514	422	504	432	469	440	440	539
gene193	330	270	303	312	322	359	270	309	308	221
gene194	1307	1013	1019	1083	1234	1251	1247	1114	1093	1211
gene195	474	504	483	487	388	489	393	442	462	480
gene196	361	313	343	297	370	628	759	724	646	570
gene197	283	325	371	270	365	368	336	285	358	330
gene198	23	16	23	15	21	12	17	9	14	21
gene199	258	197	279	302	261	273	293	286	260	254
gene200	21	10	16	14	12	20	23	21	19	19
gene201	17	12	6	17	13	15	9	11	13	14
gene202	425	468	481	429	445	430	426	479	435	441
gene203	4395	4309	4186	4150	4177	4057	4241	4344	3731	4006
gene204	3996	3948	3758	3418	3689	3955	3173	3925	4306	3905
gene205	309	260	326	286	325	278	317	316	283	280
gene206	202	192	172	176	182	167	168	166	193	188
gene207	32	28	33	38	40	28	33	26	31	25
gene208	2543	2161	2576	2474	2288	2252	2291	2183	2284	2257
gene209	113	129	95	121	146	104	109	110	120	123
gene210	592	739	634	668	613	653	590	563	633	686
gene211	168	162	159	174	161	152	167	178	165	202
gene212	799	726	755	840	729	801	864	832	743	817
gene213	838	958	782	857	846	948	799	878	911	872
gene214	8636	7896	6991	7270	8215	16915	12778	16016	17415	15791
gene215	8327	7358	7786	7887	7901	8274	7508	7591	7396	8174
gene216	2222	2018	2227	2231	2240	2130	2198	1667	2016	2349
gene217	21	33	26	24	34	22	24	24	25	19
gene218	7796	7197	6606	7704	7082	7215	7665	7240	7850	7310
gene219	5038	5173	4808	5544	5591	5007	5423	4690	5197	5672
gene220	314	280	247	258	274	278	282	265	299	277
gene221	2513	2502	2799	2662	2798	2726	2976	2783	2431	2703
gene222	27	37	39	44	29	26	45	18	27	35
gene223	1520	1567	1527	1277	1378	1508	1501	1523	1402	1545
gene224	257	221	275	214	246	203	277	256	243	242
gene225	20	24	15	21	15	20	18	17	16	20
gene226	5821	5415	6139	6049	5441	5898	5167	5065	5511	6444
gene227	42	37	41	38	46	67	46	56	54	54
gene228	6142	6128	6917	6337	6474	14384	15756	11290	13708	13082
gene229	94	70	72	91	70	77	57	73	58	68
gene230	88	95	88	83	107	190	167	167	186	196
gene231	805	816	741	901	868	711	825	781	870	813
gene232	83	118	120	106	104	86	109	103	99	119
gene233	622	662	582	541	533	579	638	592	471	551
gene234	5753	6459	6100	6962	5823	5395	5795	5985	5788	6066
gene235	711	726	564	849	657	639	757	703	689	718
gene236	16	20	16	19	19	25	18	14	12	13
gene237	59	51	47	54	66	56	73	70	47	55
gene238	49	41	55	33	48	43	39	55	45	42
gene239	904	1093	1014	1041	1078	1107	1048	1001	1050	1039
gene240	26	17	24	22	32	37	24	34	27	27
gene241	1268	1439	1190	1172	1175	1239	1214	1325	1263	1364
gene242	87	102	80	72	76	96	103	96	104	81
gene243	137	166	166	159	145	151	118	145	152	154
gene244	26	15	13	34	21	35	39	31	38	44
gene245	2362	1849	2362	2324	2250	2080	2176	2269	1905	2391
gene246	1342	1289	1345	1458	1287	1668	1346	1554	1380	1298
gene247	45	42	35	43	51	46	31	36	42	30
gene248	1760	1778	1922	1820	1701	1767	1716	1715	1679	1797
gene249	88	118	103	119	105	117	155	96	133	112
gene250	1332	1508	1241	1414	1640	1380	1619	1544	1336	1440
gene251	2797	3182	3323	3198	3376	2967	3203	3330	2662	3322
gene252	1602	1495	1751	1599	1512	2845	3363	3127	3301	2959
gene253	44	29	46	31	24	27	52	42	44	43
gene254	49	39	41	40	40	40	35	35	32	35
gene255	58	54	66	69	74	60	57	67	61	49
gene256	7120	6508	6238	6551	6841	6430	7549	6408	7085	6830
gene257	431	424	409	391	462	424	445	415	479	421
gene258	140	170	151	151	198	178	168	123	142	139
gene259	391	385	376	441	409	431	492	452	460	369
gene260	124	156	153	130	134	310	253	287	283	291
gene261	4553	4686	4746	5084	4565	4673	4441	4893	4508	4284
gene262	448	475	500	491	492	471	531	461	525	531
gene263	340	254	281	333	299	310	278	338	290	272
gene264	1609	1506	1828	2242	1754	1550	1664	1913	1664	1695
gene265	1463	1651	1249	1402	1495	1491	1329	1313	1280	1501
gene266	327	279	283	310	312	297	344	310	307	294
gene267	9376	9798	8747	9071	9162	8400	9698	8649	10408	9138
gene268	284	254	220	247	243	212	208	237	248	278
gene269	16	23	16	14	20	31	13	21	22	24
gene270	11	11	8	15	15	10	11	13	9	9
gene271	8	12	14	9	8	14	11	13	13	15
gene272	6418	6776	5613	6600	6754	6513	7741	5914	6120	6091
gene273	1541	1441	1368	1425	1521	1412	1641	1510	1388	1648
gene274	1218	1233	1342	1016	1265	1248	1271	1232	1454	1301
gene275	528	558	573	606	573	556	575	539	665	548
gene276	359	390	436	382	417	408	388	388	373	388
gene277	68	63	62	72	80	83	61	63	84	69
gene278	699	708	585	633	583	585	529	658	553	617
gene279	17	16	12	17	26	8	14	23	19	22
gene280	2025	2050	2033	1925	2230	4409	4080	4322	3954	4628
gene281	5	11	18	20	13	17	10	12	17	11
gene282	56	84	55	69	79	71	62	76	67	61
gene283	2464	2347	2393	2490	2394	2273	2035	2243	2297	2382
gene284	6034	5543	5986	6058	5348	5016	6175	5892	5007	4787
gene285	367	381	382	411	360	404	382	373	435	334
gene286	108	104	118	136	135	122	116	129	132	105
gene287	845	829	813	855	961	836	814	953	921	913
gene288	264	279	362	280	312	264	301	271	300	271
gene289	5878	6990	5888	6179	6639	5968	6191	5607	6646	5816
gene290	8030	8547	8701	7737	8831	7705	7697	8165	7813	8766
gene291	1335	1265	1323	1172	1457	1589	1279	1298	1247	1530
gene292	34	43	39	33	41	32	33	31	31	34
gene293	4166	3876	4491	4366	4200	3851	3915	3718	3974	3769
gene294	42	50	45	41	53	44	67	50	47	48
gene295	1308	1331	1335	1269	1126	1188	1533	1165	1240	1252
gene296	8763	9771	9040	8832	9306	10954	8461	9616	9946	8095
gene297	30	27	33	36	30	30	27	24	36	26
gene298	2008	1922	1980	1808	2049	1853	1462	1947	1817	1781
gene299	180	200	179	144	165	176	153	199	165	172
gene300	5001	5715	4986	5305	4564	5183	5119	5433	4868	5199
gene301	577	603	618	638	554	1474	1143	1320	1386	1175
gene302	11	22	18	17	12	15	16	14	10	19
gene303	665	768	692	687	663	700	658	654	631	658
gene304	452	538	498	515	523	479	468	478	494	518
gene305	67	54	64	71	77	74	63	73	71	70
gene306	1547	1681	1583	1483	1512	1446	1680	1506	1542	1611
gene307	1495	1263	1250	1230	1307	2296	2467	2605	2436	2450
gene308	644	753	784	712	628	752	766	808	790	705
gene309	52	50	49	44	35	65	58	41	33	48
gene310	204	215	230	197	230	239	295	274	255	249
gene311	6592	6224	6223	5787	5427	5263	5895	6035	6187	6284
gene312	33	26	27	27	40	28	25	31	29	23
gene313	48	48	70	50	48	111	93	87	89	94
gene314	636	563	603	657	644	680	572	560	633	638
gene315	1036	1016	949	1203	1126	849	1072	882	1143	863
gene316	814	786	776	939	915	903	810	878	849	801
gene317	38	22	32	29	29	41	29	37	29	41
gene318	101	96	90	86	119	95	94	83	90	94
gene319	53	35	40	50	50	46	41	56	40	38
gene320	406	347	386	403	358	409	373	424	390	418
gene321	722	640	666	709	741	791	709	704	605	639
gene322	3783	4579	4000	3661	3998	4164	4500	4550	4000	4225
gene323	289	281	292	285	345	249	261	315	284	315
gene324	2427	2402	2611	2337	2200	4508	4555	4510	4927	4475
gene325	172	171	140	153	186	133	157	177	169	159
gene326	20	30	18	30	22	19	28	23	42	19
gene327	922	883	1023	1057	1072	951	811	1052	959	980
gene328	23	21	22	30	14	27	26	32	15	21
gene329	2082	2193	2026	1766	2074	2072	1926	1623	2033	1696
gene330	19	24	20	29	27	47	32	59	43	48
gene331	134	134	129	119	130	133	117	120	120	131
gene332	663	667	821	748	792	627	716	696	745	665
gene333	2249	2514	2112	2445	2601	2140	2639	2803	2793	2472
gene334	33	35	41	33	36	36	33	38	51	42
gene335	6619	6818	6854	6098	7426	6534	6959	6696	6695	6554
gene336	12	13	5	22	6	17	9	20	16	9
gene337	7	7	11	18	15	25	25	25	32	22
gene338	16	12	20	20	16	12	11	15	9	17
gene339	131	158	161	174	181	140	135	159	148	171
gene340	113	87	121	87	132	101	111	116	141	99
gene341	35	36	23	34	32	34	37	24	37	40
gene342	11	18	11	12	10	12	18	8	12	17
gene343	3067	2877	2507	2964	3328	2925	2985	3204	2918	2695
gene344	1690	1676	1679	1710	1890	1799	1573	1884	1950	2091
gene345	166	152	169	164	173	369	366	350	335	306
gene346	916	1006	866	883	991	820	917	865	839	843
gene347	133	134	152	166	114	148	155	147	128	134
gene348	6872	6692	7172	6562	6382	6510	6735	6478	6284	6871
gene349	5744	6184	5938	5570	6117	5833	5496	6716	5256	5545
gene350	1329	1513	1316	1444	1334	2759	2913	2736	2585	2628
gene351	394	449	419	469	464	432	394	376	406	451
gene352	498	526	513	484	510	498	549	376	454	458
gene353	4035	4362	4306	4268	4392	4547	3777	3974	4552	4158
gene354	349	328	334	325	381	372	352	400	418	385
gene355	140	142	113	134	133	220	221	280	236	206
gene356	23	27	24	28	36	20	28	29	25	36
gene357	744	792	653	647	779	762	861	671	733	602
gene358	861	747	946	908	806	864	920	946	1079	1051
gene359	1955	2142	1901	2093	2003	1820	1955	1792	1829	1865
gene360	260	199	247	238	227	436	460	421	444	514
gene361	450	462	388	508	434	469	402	404	433	425
gene362	2236	2953	2727	2489	2744	4823	4750	5209	5016	5714
gene363	127	113	130	106	122	131	107	110	127	126
gene364	153	126	165	167	139	138	135	144	172	184
gene365	326	301	304	309	329	352	281	323	310	268
gene366	4226	3344	3885	3640	3848	3568	3356	3802	3893	3685
gene367	1572	1527	1740	1498	1536	1646	1558	1400	1588	1627
gene368	9	21	18	16	24	21	26	20	25	18
gene369	738	668	749	810	732	723	737	647	809	715
gene370	14	17	10	15	20	20	14	14	13	8
gene371	303	312	330	314	298	344	320	284	354	297
gene372	345	287	301	261	249	300	279	262	322	303
gene373	77	63	67	69	55	75	59	57	65	76
gene374	552	524	428	445	515	957	1008	969	918	1090
gene375	256	290	289	334	275	243	245	272	301	279
gene376	27	33	32	26	27	27	33	34	29	28
gene377	467	444	419	438	488	461	491	443	467	483
gene378	200	234	180	171	172	170	172	201	172	166
gene379	105	89	89	79	93	77	93	100	82	97
gene380	167	154	177	171	158	180	178	153	152	162
gene381	141	111	122	147	104	246	257	251	232	229
gene382	79	62	70	63	70	60	60	67	70	57
gene383	1045	1110	1161	1146	1116	1848	2051	1985	1936	2114
gene384	9194	10000	9502	9822	9843	9495	9644	10231	10812	9116
gene385	2392	2926	2599	2870	2722	2562	2382	2524	2572	2539
gene386	457	471	394	504	404	491	512	453	411	482
gene387	188	229	222	214	183	176	187	246	173	232
gene388	106	103	91	90	109	192	208	238	235	206
gene389	3077	3450	3606	3066	3304	3279	3084	3140	2665	3446
gene390	7645	7542	7108	7524	8358	7823	7439	7757	6804	7096
gene391	56	70	74	86	85	88	84	96	78	61
gene392	2285	2473	2391	2208	2393	2516	2463	2351	2373	2262
gene393	1614	1761	1965	1556	1750	1752	1825	1610	1800	1733
gene394	17	13	15	10	9	11	15	8	6	6
gene395	731	638	638	652	758	704	716	807	619	650
gene396	21	20	19	21	16	19	21	19	22	27
gene397	52	32	36	45	38	39	58	46	61	52
gene398	371	400	387	390	370	316	371	373	351	441
gene399	94	90	83	62	108	88	88	67	78	76
gene400	18	14	10	15	23	19	14	13	9	11
gene401	376	388	357	348	379	703	749	816	737	652
gene402	1626	1399	1660	1341	1602	1405	1509	1547	1698	1631
gene403	177	155	161	154	183	168	149	157	173	162
gene404	33	32	17	34	22	30	31	28	22	27
gene405	7833	7257	7974	6906	7048	7099	6829	8179	7614	7224
gene406	584	631	534	555	528	566	566	594	598	497
gene407	2086	1741	1987	1890	1968	3642	3849	3759	4010	3843
gene408	186	189	199	200	185	158	205	200	205	209
gene409	31	30	43	40	35	43	38	23	35	37
gene410	1143	1238	1097	1173	1207	1137	1207	1132	1119	1109
gene411	458	452	478	533	486	530	547	501	490	459
gene412	1962	2272	2379	2027	2101	2023	2171	2005	2197	2106
gene413	14	19	18	19	16	11	9	12	7	13
gene414	423	433	445	411	407	455	442	417	435	368
gene415	252	249	227	241	218	218	232	216	210	324
gene416	37	34	49	38	25	101	79	74	80	107
gene417	95	106	102	99	103	93	111	106	97	103
gene418	164	169	133	143	138	122	155	149	155	135
gene419	96	80	93	83	93	87	94	75	75	74
gene420	1491	1177	1273	1357	1466	1225	1304	1325	1462	1322
gene421	249	222	219	242	249	209	224	247	291	258
gene422	8	14	14	16	13	10	13	6	11	5
gene423	1507	1522	1639	1814	1576	1704	1784	1896	1526	1501
gene424	13	24	19	14	14	13	15	11	9	13
gene425	1164	1073	1004	1092	961	1027	1069	1012	1071	936
gene426	93	79	82	84	62	62	77	58	67	88
gene427	64	77	89	89	71	74	86	88	78	75
gene428	951	805	783	953	874	849	765	722	855	925
gene429	28	31	18	19	25	29	22	35	23	25
gene430	7416	8172	7076	7479	6968	7937	8166	6689	7625	6733
gene431	204	200	191	202	182	194	185	186	211	175
gene432	258	256	234	276	250	229	255	228	235	214
gene433	420	434	434	368	459	495	428	439	406	408
gene434	273	233	243	215	224	218	275	235	235	216
gene435	153	177	196	179	172	194	133	167	192	159
gene436	24	31	30	32	23	29	33	35	34	23
gene437	29	42	32	52	30	34	51	30	38	41
gene438	88	90	92	95	95	115	125	91	94	102
gene439	49	48	46	70	52	55	50	70	53	61
gene440	6514	7253	6769	6676	7310	14138	14017	13737	14321	13073
gene441	648	696	748	698	646	683	734	761	646	588
gene442	4511	4022	3962	4131	3753	3726	3348	3881	4155	3857
gene443	7391	7272	6933	7207	6833	7902	7529	7535	6859	8384
gene444	2086	1928	1804	2058	1868	2066	1958	1848	2172	1840
gene445	51	49	53	50	52	58	41	34	44	38
gene446	30	25	25	31	27	34	23	26	35	32
gene447	258	248	250	286	243	253	234	298	284	294
gene448	122	128	122	136	102	230	240	233	248	240
gene449	578	631	583	544	632	569	566	556	683	597
gene450	9259	8993	8830	9125	9865	10957	11040	8439	8532	8942
gene451	453	411	496	434	448	391	376	421	460	344
gene452	904	1048	1129	1176	1128	1095	1133	1029	936	1229
gene453	1255	1362	1458	1206	1555	1461	1321	1156	1198	1265
gene454	2506	2907	2880	2632	2580	2406	2773	2740	2330	2595
gene455	132	144	124	93	106	113	112	111	129	107
gene456	377	421	313	362	451	310	322	342	285	414
gene457	64	35	46	40	40	30	53	31	39	37
gene458	2305	2024	2100	2175	1977	2255	2004	2044	2159	2335
gene459	15	11	10	9	5	12	11	9	18	17
gene460	6666	6333	6695	5845	5958	6394	6594	5830	6635	6957
gene461	5161	4505	4148	4321	4204	5081	4275	4553	4186	4243
gene462	4763	5046	5171	4867	4944	10275	8552	8716	9354	8711
gene463	230	198	235	220	242	201	239	270	212	208
gene464	642	728	727	693	781	656	735	659	687	706
gene465	139	151	129	137	123	152	122	126	135	118
gene466	161	155	136	177	127	138	138	140	153	159
gene467	38	40	44	45	44	48	40	45	50	44
gene468	68	51	71	79	62	69	64	72	86	82
gene469	5689	6094	5901	5441	5717	6301	4703	5967	5936	5657
gene470	6652	5941	7575	6796	6602	6021	6626	6078	5851	6904
gene471	231	208	183	185	201	418	440	398	357	368
gene472	64	72	73	63	76	93	86	61	74	64
gene473	822	743	729	611	665	694	555	653	677	737
gene474	87	96	110	94	102	94	102	102	93	88
gene475	142	109	112	138	123	116	124	80	113	131
gene476	13	4	11	8	13	10	18	7	7	9
gene477	144	182	205	191	147	382	322	328	306	377
gene478	4325	4109	3686	4431	3720	3836	3670	4264	4090	4026
gene479	85	76	92	85	94	69	92	89	95	88
gene480	1933	1605	1676	1620	1942	1811	1819	1825	1810	1770
gene481	859	998	835	865	760	757	921	826	908	742
gene482	74	97	69	89	63	93	83	80	86	94
gene483	303	292	327	295	336	324	359	374	369	375
gene484	474	599	516	614	537	561	527	603	562	567
gene485	751	696	911	609	762	899	737	841	746	685
gene486	4707	4582	4300	5709	4415	4886	4554	5573	4545	4800
gene487	98	138	112	113	118	112	112	134	126	134
gene488	2299	2330	2346	2125	2416	2339	2527	2377	2429	2266
gene489	923	1004	1008	824	902	2124	1730	1743	2091	1771
gene490	1895	2366	1958	1880	2232	2162	1731	1765	1892	1998
gene491	249	274	268	272	240	301	318	246	225	260
gene492	70	58	62	59	58	73	76	53	57	51
gene493	1449	1403	1352	1353	1520	1298	1559	1713	1442	1317
gene494	5460	4668	4990	5080	5361	4554	6072	5216	5501	5100
gene495	7	13	9	8	7	11	13	9	13	14
gene496	4505	4144	4797	4609	4491	4084	3953	4863	4875	4782
gene497	338	300	339	291	267	321	302	292	331	288
gene498	13	13	13	14	9	3	12	15	7	18
gene499	1305	1384	1405	1543	1427	1331	1361	1598	1574	1457
